time,alive_grass,alive_herbivores,alive_predators,herbivore_hp_pool,predator_hp_pool,predator_mana,herbivore_mana,total_creature_mana,corpse_mana,field_mana,attack_gain,magic_gain,grass_gain,field_gain,corpse_gain,mana_spent,death_release,expected_phase_ups
0.0,100,30,10,1050.0,550.0,2000.0,3000.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,100,30,10,1050.0,550.0,2000.0,3000.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,100,29,10,990.0,550.0,2039.0,2900.0,4939.0,0.0,100.0,60.0,0.0,0.0,0.0,0.0,21.0,100.0,0.0
3.0,100,27,10,930.0,550.0,2078.0,2700.0,4778.0,0.0,300.0,120.0,0.0,0.0,0.0,0.0,42.0,300.0,0.0
4.0,100,27,10,930.0,550.0,2078.0,2700.0,4778.0,0.0,300.0,120.0,0.0,0.0,0.0,0.0,42.0,300.0,0.0
5.0,100,25,10,870.0,550.0,2117.0,2500.0,4617.0,0.0,500.0,180.0,0.0,0.0,0.0,0.0,63.0,500.0,0.0
6.0,100,24,10,810.0,550.0,2156.0,2400.0,4556.0,0.0,600.0,240.0,0.0,0.0,0.0,0.0,84.0,600.0,0.0
7.0,100,22,10,750.0,550.0,2195.0,2200.0,4395.0,0.0,800.0,300.0,0.0,0.0,0.0,0.0,105.0,800.0,0.0
8.0,100,22,10,750.0,550.0,2195.0,2200.0,4395.0,0.0,800.0,300.0,0.0,0.0,0.0,0.0,105.0,800.0,0.0
9.0,100,20,10,690.0,550.0,2234.0,2000.0,4234.0,0.0,1000.0,360.0,0.0,0.0,0.0,0.0,126.0,1000.0,0.0
10.0,100,18,10,630.0,550.0,2273.0,1800.0,4073.0,0.0,1200.0,420.0,0.0,0.0,0.0,0.0,147.0,1200.0,0.05
11.0,100,17,10,570.0,550.0,2312.0,1700.0,4012.0,0.0,1300.0,480.0,0.0,0.0,0.0,0.0,168.0,1300.0,0.05
12.0,100,17,10,570.0,550.0,2312.0,1700.0,4012.0,0.0,1300.0,480.0,0.0,0.0,0.0,0.0,168.0,1300.0,0.05
13.0,100,15,10,510.0,550.0,2351.0,1500.0,3851.0,0.0,1500.0,540.0,0.0,0.0,0.0,0.0,189.0,1500.0,0.05
14.0,100,13,10,450.0,550.0,2390.0,1300.0,3690.0,0.0,1700.0,600.0,0.0,0.0,0.0,0.0,210.0,1700.0,0.05
15.0,100,12,10,390.0,550.0,2429.0,1200.0,3629.0,0.0,1800.0,660.0,0.0,0.0,0.0,0.0,231.0,1800.0,0.05
16.0,100,12,10,390.0,550.0,2429.0,1200.0,3629.0,0.0,1800.0,660.0,0.0,0.0,0.0,0.0,231.0,1800.0,0.05
17.0,100,10,10,330.0,550.0,2468.0,1000.0,3468.0,0.0,2000.0,720.0,0.0,0.0,0.0,0.0,252.0,2000.0,0.05
18.0,100,8,10,270.0,550.0,2507.0,800.0,3307.0,0.0,2200.0,780.0,0.0,0.0,0.0,0.0,273.0,2200.0,0.05
19.0,100,7,10,222.0,550.0,2538.2,700.0,3238.2,0.0,2300.0,828.0,0.0,0.0,0.0,0.0,289.8,2300.0,0.05
20.0,100,7,10,222.0,550.0,2538.2,700.0,3238.2,0.0,2300.0,828.0,0.0,0.0,0.0,0.0,289.8,2300.0,0.1
21.0,100,6,10,180.0,550.0,2565.5,600.0,3165.5,0.0,2400.0,870.0,0.0,0.0,0.0,0.0,304.5,2400.0,0.1
