time,alive_grass,alive_herbivores,alive_predators,herbivore_hp_pool,predator_hp_pool,predator_mana,herbivore_mana,total_creature_mana,corpse_mana,field_mana,attack_gain,magic_gain,grass_gain,field_gain,corpse_gain,mana_spent,death_release,expected_phase_ups
0.0,100,30,10,1050.0,550.0,2000.0,3000.0,5000.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,100,30,10,1050.0,550.0,2010.0,3030.0,5040.0,0.0,960.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0
2.0,100,29,10,990.0,550.0,2059.0,2958.0,5017.0,0.0,1022.0,60.0,0.0,0.0,79.0,0.0,21.0,101.0,0.0
3.0,100,27,10,930.0,550.0,2108.0,2781.0,4889.0,0.0,1189.0,120.0,0.0,0.0,116.0,0.0,42.0,305.0,0.0
4.0,100,27,10,930.0,550.0,2118.0,2808.0,4926.0,0.0,1152.0,120.0,0.0,0.0,153.0,0.0,42.0,305.0,0.0
5.0,100,25,10,870.0,550.0,2167.0,2625.0,4792.0,0.0,1325.0,180.0,0.0,0.0,188.0,0.0,63.0,513.0,0.0
6.0,100,24,10,810.0,550.0,2216.0,2544.0,4760.0,0.0,1396.0,240.0,0.0,0.0,222.0,0.0,84.0,618.0,0.0
7.0,100,22,10,750.0,550.0,2265.0,2354.0,4619.0,0.0,1576.0,300.0,0.0,0.0,254.0,0.0,105.0,830.0,0.0
8.0,100,22,10,750.0,550.0,2275.0,2376.0,4651.0,0.0,1544.0,300.0,0.0,0.0,286.0,0.0,105.0,830.0,0.0
9.0,100,20,10,690.0,550.0,2324.0,2180.0,4504.0,0.0,1730.0,360.0,0.0,0.0,316.0,0.0,126.0,1046.0,0.0
10.0,100,18,10,630.0,550.0,2373.0,1980.0,4353.0,0.0,1920.0,420.0,0.0,0.0,344.0,0.0,147.0,1264.0,0.05
11.0,100,17,10,570.0,550.0,2422.0,1887.0,4309.0,0.0,2003.0,480.0,0.0,0.0,371.0,0.0,168.0,1374.0,0.05
12.0,100,17,10,570.0,550.0,2432.0,1904.0,4336.0,0.0,1976.0,480.0,0.0,0.0,398.0,0.0,168.0,1374.0,0.05
13.0,100,15,10,510.0,550.0,2481.0,1695.0,4176.0,0.0,2175.0,540.0,0.0,0.0,423.0,0.0,189.0,1598.0,0.05
14.0,100,13,10,450.0,550.0,2530.0,1482.0,4012.0,0.0,2378.0,600.0,0.0,0.0,446.0,0.0,210.0,1824.0,0.05
15.0,100,12,10,390.0,550.0,2579.0,1380.0,3959.0,0.0,2470.0,660.0,0.0,0.0,468.0,0.0,231.0,1938.0,0.05
